Datetime,Total_Load
2017-12-24 00:00:00,63350.12599
2017-12-24 00:10:00,61820.34025
2017-12-24 00:20:00,60117.45897
2017-12-24 00:30:00,58713.63202999999
2017-12-24 00:40:00,57366.1449
2017-12-24 00:50:00,56130.89917
2017-12-24 01:00:00,54888.91696
2017-12-24 01:10:00,54139.84544999999
2017-12-24 01:20:00,53069.00988
2017-12-24 01:30:00,52081.722649999996
2017-12-24 01:40:00,50793.97458
2017-12-24 01:50:00,49963.10448000001
2017-12-24 02:00:00,49407.10626
2017-12-24 02:10:00,48380.79341
2017-12-24 02:20:00,47918.12959999999
2017-12-24 02:30:00,47494.40397099999
2017-12-24 02:40:00,47341.82267
2017-12-24 02:50:00,47088.241701
2017-12-24 03:00:00,46745.33352100001
2017-12-24 03:10:00,46494.964938000005
2017-12-24 03:20:00,46220.097879
2017-12-24 03:30:00,46379.228799000004
2017-12-24 03:40:00,46034.56924499999
2017-12-24 03:50:00,46025.777150999995
2017-12-24 04:00:00,45912.764957
2017-12-24 04:10:00,45869.210030999995
2017-12-24 04:20:00,45781.154291
2017-12-24 04:30:00,45355.63615200001
2017-12-24 04:40:00,45374.535673000006
2017-12-24 04:50:00,45421.430532
2017-12-24 05:00:00,45604.237875
2017-12-24 05:10:00,45906.986086
2017-12-24 05:20:00,46024.014020999995
2017-12-24 05:30:00,45903.303461
2017-12-24 05:40:00,45998.82797300001
2017-12-24 05:50:00,47846.262800000004
2017-12-24 06:00:00,47935.124574999994
2017-12-24 06:10:00,47310.480483
2017-12-24 06:20:00,46931.909031999996
2017-12-24 06:30:00,46675.795234
2017-12-24 06:40:00,45704.574209
2017-12-24 06:50:00,43892.851817999996
2017-12-24 07:00:00,41491.10352800001
2017-12-24 07:10:00,39873.309637
2017-12-24 07:20:00,37813.841247000004
2017-12-24 07:30:00,37481.504858
2017-12-24 07:40:00,37543.147928000006
2017-12-24 07:50:00,37895.670293
2017-12-24 08:00:00,38790.076245000004
2017-12-24 08:10:00,39581.548053000006
2017-12-24 08:20:00,40122.162851
2017-12-24 08:30:00,40959.924235000006
2017-12-24 08:40:00,42083.087077
2017-12-24 08:50:00,43057.703079000006
2017-12-24 09:00:00,44644.360316
2017-12-24 09:10:00,45489.171006
2017-12-24 09:20:00,46288.951308
2017-12-24 09:30:00,47697.090213999996
2017-12-24 09:40:00,49196.650416000004
2017-12-24 09:50:00,50430.480545
2017-12-24 10:00:00,51736.492942000004
2017-12-24 10:10:00,53451.523883
2017-12-24 10:20:00,54378.797204
2017-12-24 10:30:00,55370.061166
2017-12-24 10:40:00,55710.092751
2017-12-24 10:50:00,56617.957263
2017-12-24 11:00:00,57640.733189000006
2017-12-24 11:10:00,58160.404623999995
2017-12-24 11:20:00,58451.440844
2017-12-24 11:30:00,59092.284553
2017-12-24 11:40:00,59939.14602
2017-12-24 11:50:00,60026.544630000004
2017-12-24 12:00:00,60251.598020000005
2017-12-24 12:10:00,60330.229100000004
2017-12-24 12:20:00,61510.263450000006
2017-12-24 12:30:00,62020.45678
2017-12-24 12:40:00,62005.41179
2017-12-24 12:50:00,61732.289690000005
2017-12-24 13:00:00,61729.08105000001
2017-12-24 13:10:00,61958.476859999995
2017-12-24 13:20:00,61765.09185999999
2017-12-24 13:30:00,61919.26117
2017-12-24 13:40:00,61639.908110000004
2017-12-24 13:50:00,61692.74304
2017-12-24 14:00:00,61651.26776
2017-12-24 14:10:00,61593.65379
2017-12-24 14:20:00,61498.23917
2017-12-24 14:30:00,61670.34612
2017-12-24 14:40:00,61906.766639999994
2017-12-24 14:50:00,61343.73197
2017-12-24 15:00:00,61062.928029999995
2017-12-24 15:10:00,60926.573070000006
2017-12-24 15:20:00,60661.46215
2017-12-24 15:30:00,60037.10041
2017-12-24 15:40:00,59480.62659
2017-12-24 15:50:00,59256.506781000004
2017-12-24 16:00:00,59055.780533
2017-12-24 16:10:00,58874.51632
2017-12-24 16:20:00,59010.935397
2017-12-24 16:30:00,59499.19996499999
2017-12-24 16:40:00,60235.74007
2017-12-24 16:50:00,61801.47567
2017-12-24 17:00:00,64252.602979999996
2017-12-24 17:10:00,68597.54807
2017-12-24 17:20:00,73737.37399000001
2017-12-24 17:30:00,79362.86771
2017-12-24 17:40:00,81576.25619
2017-12-24 17:50:00,82880.82895
2017-12-24 18:00:00,83235.42081
2017-12-24 18:10:00,83577.70286
2017-12-24 18:20:00,83802.93615
2017-12-24 18:30:00,83860.24642
2017-12-24 18:40:00,84089.80823
2017-12-24 18:50:00,84413.4838
2017-12-24 19:00:00,84902.75566999998
2017-12-24 19:10:00,85343.61450000001
